FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
41205		YES-SUPERSEDED	ALL			87	Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Diagnoses - secondary ICD9	Categorical multiple
41210			ALL			240	Health-related outcomes > Hospital inpatient > Summary Operations	2005	Operative procedures - secondary OPCS4	Categorical multiple
41214			NO_NAN			227	Health-related outcomes > Hospital inpatient > Summary Psychiatric	2004	Carer support indicators	Categorical multiple
41215			ALL			230	Health-related outcomes > Hospital inpatient > Summary Psychiatric	2004	Detention categories	Categorical multiple
41216			ALL			231	Health-related outcomes > Hospital inpatient > Summary Psychiatric	2004	Legal statuses	Categorical multiple
41217			ALL			228	Health-related outcomes > Hospital inpatient > Summary Psychiatric	2004	Mental categories	Categorical multiple
41218			NO_NAN			229	Health-related outcomes > Hospital inpatient > Summary Psychiatric	2004	History of psychiatric care on admission	Categorical multiple
41219			NO_NAN			212	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Anaesthetics administered during delivery	Categorical multiple
41220			NO_NAN			212	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Anaesthetics administered post delivery	Categorical multiple
41221			NO_NAN			216	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Delivery methods	Categorical multiple
41222			NO_NAN			220	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Delivery onset methods	Categorical multiple
41223			NO_NAN			217	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Delivery places	Categorical multiple
41224			NO_NAN			217	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Intended delivery places	Categorical multiple
41225			NO_NAN			223	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Resuscitation methods	Categorical multiple
41226			NO_NAN			224	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Sex of baby	Categorical multiple
41227			NO_NAN			219	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Status of baby at birth	Categorical multiple
41228			NO_NAN			225	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Statuses of person conducting delivery	Categorical multiple
41229			ALL			239	Health-related outcomes > Hospital inpatient > Summary Administration	2001	PCT responsible for patient data	Categorical multiple
41230		YES-LOCATION	ALL			239	Health-related outcomes > Hospital inpatient > Summary Administration	2001	PCT where patients GP was registered	Categorical multiple
41231			ALL			238	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Hospital episode type	Categorical multiple
41232			ALL			201	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Administrative and legal statuses	Categorical multiple
41234							Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient diagnoses dataset	Integer
41235							Health-related outcomes > Hospital inpatient > Summary Administration	2001	Spells in hospital	Integer
41244			ALL			271	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Intended management of patient (recoded)	Categorical multiple
41245			ALL			270	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Main speciality of consultant (recoded)	Categorical multiple
41246			ALL			269	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Treatment speciality of consultant (recoded)	Categorical multiple
41247			ALL			266	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Patient classification on admission (recoded)	Categorical multiple
41248			ALL			267	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Destinations on discharge from hospital (recoded)	Categorical multiple
41249			ALL			264	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Methods of admission to hospital (recoded)	Categorical multiple
41250			ALL			268	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Methods of discharge from hospital (recoded)	Categorical multiple
41251			ALL			265	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Sources of admission to hospital (recoded)	Categorical multiple
41253			ALL			263	Health-related outcomes > Hospital inpatient > Summary Administration	2001	Inpatient record format	Categorical multiple
41256			ALL			259	Health-related outcomes > Hospital inpatient > Summary Operations	2005	Operative procedures - main OPCS3	Categorical multiple
41257		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Operations	2005	Date of first operative procedure - main OPCS3	Date
41258			ALL			259	Health-related outcomes > Hospital inpatient > Summary Operations	2005	Operative procedures - secondary OPCS3	Categorical multiple
41259							Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient main dataset	Integer
41260		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Operations	2005	Date of first operative procedure - main OPCS4	Date
41261							Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient maternity dataset	Integer
41262		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Date of first in-patient diagnosis - main ICD10	Date
41263		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Date of first in-patient diagnosis - main ICD9	Date
41264							Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient delivery dataset	Integer
41265							Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient birth dataset	Integer
41266		YES-CAT-SIN-MUL-VAL					Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Number of babies delivered from single pregnancy	Categorical single
41267		YES-CAT-SIN-MUL-VAL					Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Number of previous pregnancies	Categorical single
41268		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Date of first antenatal assessment	Date
41269							Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Gestation period at first antenatal assessment	Integer
41270		YES-SUPERSEDED	ALL			19	Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Diagnoses - ICD10	Categorical multiple
41271		YES-SUPERSEDED	ALL			87	Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Diagnoses - ICD9	Categorical multiple
41272			ALL			240	Health-related outcomes > Hospital inpatient > Summary Operations	2005	Operative procedures - OPCS4	Categorical multiple
41273			ALL			259	Health-related outcomes > Hospital inpatient > Summary Operations	2005	Operative procedures - OPCS3	Categorical multiple
41275							Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Duration of antenatal stay	Integer
41276							Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Number of weeks of gestation	Integer
41277		YES-CAT-SIN-MUL-VAL				215	Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Reason for changing delivery place	Categorical single
41278		YES-CAT-SIN-MUL-VAL					Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Birth order	Categorical single
41279						BINARY	Health-related outcomes > Hospital inpatient > Summary Psychiatric	2004	Detention date	Date
41280		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Date of first in-patient diagnosis - ICD10	Date
41281		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	Date of first in-patient diagnosis - ICD9	Date
41282		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Operations	2005	Date of first operative procedure - OPCS4	Date
41283		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Operations	2005	Date of first operative procedure - OPCS3	Date
41284							Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Baby birth weight	Integer
41285							Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Duration of postnatal stay	Integer
41286							Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Mother age on date of delivery	Integer
41288		YES-DATE					Health-related outcomes > Hospital inpatient > Summary Maternity	2003	Date of birth of baby	Date
41289		YES-META					Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient psychiatric dataset	Integer
41290		YES-META					Health-related outcomes > Hospital inpatient > Record-level access	2006	Records in HES inpatient critical care dataset	Integer
42000		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Myocardial infarction outcomes	44	Date of myocardial infarction	Date
42001						300	Health-related outcomes > Algorithmically-defined outcomes > Myocardial infarction outcomes	44	Source of myocardial infarction report	Categorical single
42002		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Myocardial infarction outcomes	44	Date of STEMI	Date
42003						300	Health-related outcomes > Algorithmically-defined outcomes > Myocardial infarction outcomes	44	Source of STEMI report	Categorical single
42004		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Myocardial infarction outcomes	44	Date of NSTEMI	Date
42005						300	Health-related outcomes > Algorithmically-defined outcomes > Myocardial infarction outcomes	44	Source of NSTEMI report	Categorical single
42006		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Date of stroke	Date
42007						300	Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Source of stroke report	Categorical single
42008		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Date of ischaemic stroke	Date
42009						300	Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Source of ischaemic stroke report	Categorical single
42010		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Date of intracerebral haemorrhage	Date
42011						300	Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Source of intracerebral haemorrhage report	Categorical single
42012		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Date of subarachnoid haemorrhage	Date
42013						300	Health-related outcomes > Algorithmically-defined outcomes > Stroke outcomes	43	Source of subarachnoid haemorrhage report	Categorical single
42014		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Asthma outcomes	45	Date of asthma report	Date
42015						300	Health-related outcomes > Algorithmically-defined outcomes > Asthma outcomes	45	Source of asthma report	Categorical single
42016		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > COPD outcomes	46	Date of chronic obstructive pulmonary disease report	Date
42017						300	Health-related outcomes > Algorithmically-defined outcomes > COPD outcomes	46	Source of chronic obstructive pulmonary disease report	Categorical single
42018		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Date of all cause dementia report	Date
42019						300	Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Source of all cause dementia report	Categorical single
42020		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Date of alzheimer's disease report	Date
42021						300	Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Source of alzheimer's disease report	Categorical single
42022		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Date of vascular dementia report	Date
42023						300	Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Source of vascular dementia report	Categorical single
42024		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Date of frontotemporal dementia report	Date
42025						300	Health-related outcomes > Algorithmically-defined outcomes > Dementia outcomes	47	Source of frontotemporal dementia report	Categorical single
42026		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > End stage renal disease outcomes	48	Date of end stage renal disease report	Date
42027						300	Health-related outcomes > Algorithmically-defined outcomes > End stage renal disease outcomes	48	Source of end stage renal disease report	Categorical single
42028		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Motor neurone disease outcomes	49	Date of motor neurone disease report	Date
42029						300	Health-related outcomes > Algorithmically-defined outcomes > Motor neurone disease outcomes	49	Source of motor neurone disease report	Categorical single
42030		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Date of all cause parkinsonism report	Date
42031						300	Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Source of all cause parkinsonism report	Categorical single
42032		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Date of parkinson's disease report	Date
42033						300	Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Source of parkinson's disease report	Categorical single
42034		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Date of progressive supranuclear palsy report	Date
42035						300	Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Source of progressive supranuclear palsy report	Categorical single
42036		YES-DATE					Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Date of multiple system atrophy report	Date
42037						300	Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes	50	Source of multiple system atrophy report	Categorical single
42038							Health-related outcomes > Primary care > Record-level access	3001	GP registration records	Integer
42039							Health-related outcomes > Primary care > Record-level access	3001	GP prescription records	Integer
42040							Health-related outcomes > Primary care > Record-level access	3001	GP clinical event records	Integer
90002		YES-META				93	Additional exposures > Physical activity measurement > Raw accelerometer statistics	1013	Data problem indicator	Categorical single
90012							Additional exposures > Physical activity measurement > Acceleration averages	1009	Overall acceleration average	Continuous
90013							Additional exposures > Physical activity measurement > Acceleration averages	1009	Standard deviation of acceleration	Continuous
90015						7	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	"Data quality, good wear time"	Categorical single
90016		YES-META				7	Additional exposures > Physical activity measurement > Accelerometer calibration	1012	"Data quality, good calibration"	Categorical single
90017		YES-META				7	Additional exposures > Physical activity measurement > Accelerometer calibration	1012	"Data quality, calibrated on own data"	Categorical single
90018		YES-META				7	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Daylight savings crossover	Categorical single
90019							Additional exposures > Physical activity measurement > Acceleration averages	1009	Monday average acceleration	Continuous
90020							Additional exposures > Physical activity measurement > Acceleration averages	1009	Tuesday average acceleration	Continuous
90021							Additional exposures > Physical activity measurement > Acceleration averages	1009	Wednesday average acceleration	Continuous
90022							Additional exposures > Physical activity measurement > Acceleration averages	1009	Thursday average acceleration	Continuous
90023							Additional exposures > Physical activity measurement > Acceleration averages	1009	Friday average acceleration	Continuous
90024							Additional exposures > Physical activity measurement > Acceleration averages	1009	Saturday average acceleration	Continuous
90025							Additional exposures > Physical activity measurement > Acceleration averages	1009	Sunday average acceleration	Continuous
90026						777	Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	First weekday of wear	Categorical single
90027							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 00:00 - 00:59	Continuous
90028							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 01:00 - 01:59	Continuous
90029							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 02:00 - 02:59	Continuous
90030							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 03:00 - 03:59	Continuous
90031							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 04:00 - 04:59	Continuous
90032							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 05:00 - 05:59	Continuous
90033							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 06:00 - 06:59	Continuous
90034							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 07:00 - 07:59	Continuous
90035							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 08:00 - 08:59	Continuous
90036							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 09:00 - 09:59	Continuous
90037							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 10:00 - 10:59	Continuous
90038							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 11:00 - 11:59	Continuous
90039							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 12:00 - 12:59	Continuous
90040							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 13:00 - 13:59	Continuous
90041							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 14:00 - 14:59	Continuous
90042							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 15:00 - 15:59	Continuous
90043							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 16:00 - 16:59	Continuous
90044							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 17:00 - 17:59	Continuous
90045							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 18:00 - 18:59	Continuous
90046							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 19:00 - 19:59	Continuous
90047							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 20:00 - 20:59	Continuous
90048							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 21:00 - 21:59	Continuous
90049							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 22:00 - 22:59	Continuous
90050							Additional exposures > Physical activity measurement > Acceleration averages	1009	Average acceleration 23:00 - 23:59	Continuous
90051							Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration overall	Continuous
90052							Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Non wear duration overall	Continuous
90053		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Monday	Continuous
90054		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Tuesday	Continuous
90055		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Wednesday	Continuous
90056		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Thursday	Continuous
90057		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Friday	Continuous
90058		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Saturday	Continuous
90059		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during Sunday	Continuous
90060		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 00:00 - 00:59	Continuous
90061		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 01:00 - 01:59	Continuous
90062		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 02:00 - 02:59	Continuous
90063		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 03:00 - 03:59	Continuous
90064		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 04:00 - 04:59	Continuous
90065		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 05:00 - 05:59	Continuous
90066		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 06:00 - 06:59	Continuous
90067		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 07:00 - 07:59	Continuous
90068		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 08:00 - 08:59	Continuous
90069		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 09:00 - 09:59	Continuous
90070		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 10:00 - 10:59	Continuous
90071		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 11:00 - 11:59	Continuous
90072		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 12:00 - 12:59	Continuous
90073		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 13:00 - 13:59	Continuous
90074		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 14:00 - 14:59	Continuous
90075		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 15:00 - 15:59	Continuous
90076		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 16:00 - 16:59	Continuous
90077		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 17:00 - 17:59	Continuous
90078		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 18:00 - 18:59	Continuous
90079		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 19:00 - 19:59	Continuous
90080		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 20:00 - 20:59	Continuous
90081		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 21:00 - 21:59	Continuous
90082		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 22:00 - 22:59	Continuous
90083		YES-META					Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Wear duration during 23:00 - 23:59	Continuous
90084							Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Unique hours of wear in a 24 hour cycle (scattered over multiple days)	Integer
90085							Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Unique minutes of wear in a 24 hour cycle (scattered over multiple days)	Integer
90086							Additional exposures > Physical activity measurement > Accelerometer wear time duration	1011	Non wear episodes over 1 hour duration	Integer
90087							Additional exposures > Physical activity measurement > Acceleration averages	1009	No-wear time bias adjusted average acceleration	Continuous
90088							Additional exposures > Physical activity measurement > Acceleration averages	1009	No-wear time bias adjusted acceleration standard deviation	Continuous
90089							Additional exposures > Physical activity measurement > Acceleration averages	1009	No-wear time bias adjusted acceleration median	Continuous
90090							Additional exposures > Physical activity measurement > Acceleration averages	1009	No-wear time bias adjusted acceleration minimum	Continuous
90091							Additional exposures > Physical activity measurement > Acceleration averages	1009	No-wear time bias adjusted acceleration maximum	Continuous
90092							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 1 milli-gravities	Continuous
90093							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 2 milli-gravities	Continuous
90094							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 3 milli-gravities	Continuous
90095							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 4 milli-gravities	Continuous
90096							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 5 milli-gravities	Continuous
90097							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 6 milli-gravities	Continuous
90098							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 7 milli-gravities	Continuous
90099							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 8 milli-gravities	Continuous
90100							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 9 milli-gravities	Continuous
90101							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 10 milli-gravities	Continuous
90102							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 11 milli-gravities	Continuous
90103							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 12 milli-gravities	Continuous
90104							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 13 milli-gravities	Continuous
90105							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 14 milli-gravities	Continuous
90106							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 15 milli-gravities	Continuous
90107							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 16 milli-gravities	Continuous
90108							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 17 milli-gravities	Continuous
90109							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 18 milli-gravities	Continuous
90110							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 19 milli-gravities	Continuous
90111							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 20 milli-gravities	Continuous
90112							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 25 milli-gravities	Continuous
90113							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 30 milli-gravities	Continuous
90114							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 35 milli-gravities	Continuous
90115							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 40 milli-gravities	Continuous
90116							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 45 milli-gravities	Continuous
90117							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 50 milli-gravities	Continuous
90118							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 55 milli-gravities	Continuous
90119							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 60 milli-gravities	Continuous
90120							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 65 milli-gravities	Continuous
90121							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 70 milli-gravities	Continuous
90122							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 75 milli-gravities	Continuous
90123							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 80 milli-gravities	Continuous
90124							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 85 milli-gravities	Continuous
90125							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 90 milli-gravities	Continuous
90126							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 95 milli-gravities	Continuous
90127							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 100 milli-gravities	Continuous
90128							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 125 milli-gravities	Continuous
90129							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 150 milli-gravities	Continuous
90130							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 175 milli-gravities	Continuous
90131							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 200 milli-gravities	Continuous
90132							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 225 milli-gravities	Continuous
90133							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 250 milli-gravities	Continuous
90134							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 275 milli-gravities	Continuous
90135							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 300 milli-gravities	Continuous
90136							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 325 milli-gravities	Continuous
90137							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 350 milli-gravities	Continuous
90138							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 375 milli-gravities	Continuous
90139							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 400 milli-gravities	Continuous
90140							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 425 milli-gravities	Continuous
90141							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 450 milli-gravities	Continuous
90142							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 475 milli-gravities	Continuous
90143							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 500 milli-gravities	Continuous
90144							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 600 milli-gravities	Continuous
90145							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 700 milli-gravities	Continuous
90146							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 800 milli-gravities	Continuous
90147							Additional exposures > Physical activity measurement > Acceleration intensity distribution	1010	Fraction acceleration <= 900 milli-gravities	Continuous
